num_seats_total,mean_net_ticket_price,Dept_Date,Purchase_Date,Train_Number_All,Culmulative_sales,isNormCabin,isReturn,isOneway,Customer_Cat
1,106.3777824,4/10/19,9/27/18,E,1,1,0,0,A
2,284.8427686,12/23/18,6/12/18,E,2,0,0,0,A
1,108.4032206,9/5/19,2/24/19,J,4,1,0,0,A
1,197.7139034,6/2/19,11/21/18,C,1,1,1,0,A
2,356.6800684,8/24/19,2/12/19,B,2,0,1,0,A
1,359.2140788,8/19/19,2/7/19,J,1,0,0,0,A
2,362.4768163,9/30/19,3/21/19,C,3,0,1,0,A
1,247.2606177,12/14/18,6/4/18,C,1,1,1,0,A
1,355.1084629,2/22/19,8/14/18,G,1,0,1,0,A
1,244.8818103,9/9/19,3/1/19,J,1,1,0,0,A
1,195.3303017,9/1/19,2/21/19,C,1,1,1,0,A
1,471.3017858,1/31/19,7/24/18,J,1,0,1,0,A
1,564.533065,2/21/19,8/14/18,H,1,0,0,0,A
1,346.9654887,2/28/19,8/21/18,I,1,0,1,0,A
1,342.3727294,12/20/19,6/12/19,C,1,0,1,0,A
1,354.2502027,5/31/19,11/22/18,I,1,0,1,0,A
1,363.8852449,12/20/19,6/14/19,G,2,0,1,0,A
1,368.9212664,5/23/19,11/15/18,B,1,0,1,0,A
1,363.1179037,10/21/19,4/15/19,C,1,0,1,0,A
2,371.8813985,9/23/19,3/19/19,C,2,0,1,0,A
1,353.0490853,1/16/19,7/12/18,C,1,0,1,0,A
1,189.549108,6/6/19,11/30/18,G,1,1,1,0,A
2,84.17865007,12/5/19,5/31/19,G,50,1,1,0,A
1,125.0665932,5/27/19,11/21/18,F,9,1,0,0,A
1,185.6506609,12/11/18,6/7/18,L,1,1,0,0,A
1,635.5630072,12/19/18,6/16/18,H,1,0,0,0,A
1,355.3711972,5/27/19,11/22/18,F,1,0,0,0,A
2,316.3566916,2/3/19,8/1/18,C,2,0,1,0,A
1,352.2045245,1/13/19,7/12/18,E,1,0,0,0,A
1,356.2022145,8/24/19,2/20/19,B,3,0,1,0,A
1,107.7657396,8/25/19,2/21/19,E,5,1,0,0,A
2,187.4761524,12/2/19,5/31/19,L,2,1,0,0,A
1,364.351892,12/14/18,6/13/18,C,1,0,1,0,A
1,187.8368909,6/14/19,12/12/18,C,2,1,1,0,A
1,275.4522883,12/20/19,6/20/19,C,1,0,1,0,A
1,196.3626797,12/16/19,6/17/19,G,1,1,1,0,A
1,355.1756356,6/19/19,12/19/18,B,1,0,1,0,A
1,248.1842426,12/3/18,6/4/18,H,1,1,0,0,A
1,94.66644156,9/8/19,3/12/19,E,9,1,0,0,A
1,354.1358479,6/16/19,12/19/18,E,1,0,0,0,A
1,256.6678167,5/13/19,11/15/18,G,1,0,1,0,A
1,188.6795977,6/9/19,12/12/18,J,1,1,0,0,A
1,594.9429224,3/17/19,9/21/18,C,1,0,1,0,A
1,355.6471524,12/6/18,6/12/18,C,1,0,1,0,A
3,99.74255196,10/19/19,4/26/19,B,22,1,1,0,A
1,1249.06194,5/16/19,11/21/18,B,1,0,1,0,A
4,355.8663906,6/13/19,12/19/18,G,4,0,1,0,A
1,129.624844,12/13/19,6/21/19,D,20,1,1,0,A
2,356.472215,6/12/19,12/19/18,G,2,0,1,0,A
1,585.3525825,12/20/19,6/29/19,C,1,0,1,0,A
1,483.2914783,3/6/19,9/14/18,J,1,0,1,0,A
6,356.3683018,6/10/19,12/19/18,E,6,0,0,0,A
1,257.5090606,5/29/19,12/7/18,C,1,0,1,0,A
1,149.7310555,11/28/18,6/8/18,D,1,1,1,0,A
3,101.162864,10/15/19,4/26/19,E,4,1,0,0,A
1,130.0499211,12/10/19,6/21/19,E,12,1,0,0,A
3,256.9435068,2/15/19,8/27/18,B,3,0,1,0,A
1,356.1765262,12/1/18,6/12/18,L,1,0,0,0,A
1,368.2829712,8/1/19,2/11/19,G,1,0,1,0,A
1,139.8034423,10/27/19,5/9/19,G,13,1,1,0,A
3,360.6874075,11/30/18,6/13/18,C,3,0,1,0,A
1,129.3407159,12/12/19,6/25/19,D,15,1,1,0,A
2,257.7614189,9/1/19,3/15/19,B,2,0,1,0,A
1,102.5973839,11/21/18,6/4/18,G,1,1,1,0,A
2,83.85950756,11/12/19,5/27/19,H,24,1,0,0,A
1,1251.668559,5/9/19,11/21/18,E,1,0,0,0,A
1,149.8152938,11/24/18,6/8/18,D,1,1,1,0,A
1,372.4873026,2/26/19,9/11/18,G,1,0,1,0,A
2,151.1595908,12/13/19,6/28/19,B,22,1,1,0,A
1,85.32735397,11/21/19,6/6/19,B,61,1,1,0,A
1,361.5846261,12/2/18,6/18/18,C,1,0,1,0,A
1,1249.254663,10/24/19,5/11/19,H,1,0,0,1,A
3,425.915084,11/26/18,6/13/18,L,3,0,0,0,A
1,435.1602845,2/24/19,9/11/18,M,1,0,0,0,A
2,255.6735783,9/1/19,3/19/19,B,4,0,1,0,A
1,363.418741,3/11/19,9/27/18,E,1,0,0,0,A
1,349.7743231,12/2/18,6/20/18,B,1,0,1,0,A
1,187.6739525,3/15/19,10/1/18,C,3,1,1,0,A
1,238.0216028,10/18/19,5/7/19,I,1,0,0,1,A
1,358.3256792,10/27/19,5/16/19,I,1,0,1,0,A
1,592.0062455,3/4/19,9/21/18,E,1,0,0,0,A
1,389.9036086,12/22/18,7/11/18,B,2,0,1,0,A
3,181.6475699,10/28/19,5/17/19,B,15,1,1,0,A
2,118.3430613,11/18/18,6/8/18,E,2,1,0,0,A
1,362.1196022,3/8/19,9/26/18,I,1,0,1,0,A
1,356.0834759,3/8/19,9/27/18,C,1,0,1,0,A
1,118.994866,11/15/19,6/6/19,E,11,1,0,0,A
1,356.0674998,4/26/19,11/15/18,C,1,0,1,0,A
1,134.3316111,11/16/18,6/7/18,I,1,1,1,0,A
1,426.8168497,11/26/18,6/18/18,L,4,0,0,0,A
1,145.0723123,11/25/19,6/17/19,J,1,1,0,0,A
1,189.0903632,4/5/19,10/26/18,B,3,1,1,0,A
3,183.6778335,10/25/19,5/17/19,F,11,1,0,0,A
1,102.6760436,11/11/18,6/4/18,J,1,1,0,0,A
1,107.3026153,3/10/19,10/1/18,H,17,1,0,0,A
1,363.8137221,3/5/19,9/26/18,E,1,0,0,0,A
1,353.1741044,11/10/18,6/4/18,B,1,0,1,0,A
1,349.9343017,11/10/18,6/4/18,G,1,0,1,0,A
1,460.7908574,11/9/18,6/4/18,J,1,0,1,0,A
1,355.8423015,3/4/19,9/27/18,F,1,0,0,0,A
1,356.6767873,4/22/19,11/15/18,F,1,0,0,0,A
1,360.3131454,10/21/19,5/16/19,E,1,0,0,0,A
1,105.9005021,11/12/18,6/7/18,E,3,1,0,0,A
1,129.7756806,11/15/19,6/11/19,B,5,1,1,0,A
1,136.8271055,4/1/19,10/26/18,E,3,1,0,0,A
1,351.2654342,11/24/18,6/20/18,E,1,0,0,0,A
1,185.7826076,12/14/18,7/10/18,I,1,1,1,0,A
1,577.3787788,3/15/19,10/10/18,G,1,0,0,1,A
1,423.8403869,10/31/19,5/28/19,C,1,0,1,0,A
1,118.5660139,11/2/19,5/31/19,B,20,1,1,0,A
1,347.8542558,10/25/19,5/24/19,A,1,0,0,1,A
1,119.4911868,12/11/18,7/10/18,E,58,1,0,0,A
1,350.0065985,10/29/19,5/28/19,F,1,0,0,0,A
1,365.626423,5/15/19,12/13/18,C,1,0,1,0,A
1,359.9857004,10/25/19,5/27/19,D,1,0,1,0,A
1,349.8897928,11/2/18,6/4/18,M,1,0,0,0,A
1,350.1434502,11/2/18,6/4/18,H,1,0,0,0,A
1,372.2676466,3/30/19,10/30/18,B,1,0,1,0,A
1,83.97882812,11/1/19,6/4/19,K,1,1,1,0,A
1,257.7909122,7/27/19,2/27/19,B,1,0,1,0,A
1,136.903765,5/10/19,12/12/18,I,4,1,1,0,A
2,464.6213901,11/9/18,6/13/18,G,1,0,1,0,A
1,368.1286346,8/1/19,3/6/19,G,2,0,1,0,A
1,355.8629829,11/8/18,6/13/18,B,1,0,1,0,A
2,349.5952881,11/9/18,6/14/18,G,3,0,1,0,A
1,353.5063977,1/24/19,8/29/18,G,1,0,1,0,A
1,361.4711009,2/1/19,9/6/18,I,1,0,1,0,A
1,358.0983059,10/21/19,5/27/19,E,2,0,0,0,A
1,360.4422697,2/20/19,9/27/18,F,1,0,0,0,A
1,356.5106728,1/22/19,8/29/18,L,1,0,0,0,A
1,368.0172251,8/1/19,3/9/19,G,3,0,1,0,A
1,253.9420546,10/20/19,5/28/19,C,1,1,1,0,A
1,350.0481518,11/5/18,6/13/18,E,1,0,0,0,A
1,186.260847,8/28/19,4/5/19,C,5,1,1,0,A
1,576.2695732,10/30/18,6/7/18,N,1,0,1,0,A
1,396.8521633,9/1/19,4/10/19,I,1,0,1,0,A
2,352.3947808,11/5/18,6/14/18,E,3,0,0,0,A
2,187.832987,8/28/19,4/6/19,C,7,1,1,0,A
1,108.4961771,8/28/19,4/6/19,G,3,1,1,0,A
1,188.2637755,10/8/19,5/17/19,C,1,1,1,0,A
1,579.8978753,10/29/18,6/7/18,A,1,0,0,0,A
1,84.60447087,10/26/19,6/4/19,G,34,1,1,0,A
1,256.9670939,7/21/19,2/27/19,E,1,0,0,0,A
1,353.4182227,4/7/19,11/15/18,I,1,0,1,0,A
1,186.8386141,8/28/19,4/7/19,C,8,1,1,0,A
3,107.4050656,8/28/19,4/7/19,G,6,1,1,0,A
1,284.3229353,9/12/19,4/22/19,G,1,0,1,0,A
1,188.3019305,9/20/19,4/30/19,C,3,1,1,0,A
1,371.9687976,5/31/19,1/9/19,C,1,0,1,0,A
3,99.56676712,6/20/19,1/29/19,B,37,1,1,0,A
1,186.8891315,7/5/19,2/13/19,I,2,1,1,0,A
1,188.6415851,8/28/19,4/8/19,C,9,1,1,0,A
2,108.4177034,8/28/19,4/8/19,G,8,1,1,0,A
1,105.3365544,8/26/19,4/6/19,J,2,1,0,0,A
1,107.6689026,8/25/19,4/5/19,J,5,1,0,0,A
1,355.9954045,1/17/19,8/28/18,K,1,0,1,0,A
1,350.87979,4/25/19,12/4/18,C,1,0,1,0,A
1,129.1406919,11/8/19,6/20/19,D,1,1,1,0,A
3,186.4735279,8/26/19,4/7/19,E,3,1,0,0,A
2,108.0792525,8/25/19,4/6/19,J,7,1,0,0,A
1,88.0024369,10/23/19,6/4/19,M,13,1,0,0,A
1,99.91037987,9/18/19,4/30/19,H,7,1,0,0,A
1,187.3315551,3/26/19,11/5/18,C,1,1,1,0,A
1,108.0533319,7/3/19,2/13/19,E,7,1,0,0,A
2,187.3578259,8/26/19,4/8/19,E,5,1,0,0,A
1,106.4485598,8/25/19,4/7/19,J,8,1,0,0,A
1,349.5474362,4/23/19,12/4/18,F,1,0,0,0,A
1,108.4555336,3/22/19,11/2/18,K,1,1,1,0,A
1,107.9187822,3/22/19,11/2/18,G,23,1,1,0,A
3,100.4110956,6/17/19,1/29/19,H,7,1,0,0,A
3,106.0583642,3/1/19,10/13/18,B,29,1,1,0,A
1,108.3143714,8/25/19,4/8/19,J,9,1,0,0,A
1,283.582298,9/8/19,4/22/19,F,1,0,0,0,A
1,290.6814695,9/20/19,5/5/19,G,1,0,0,1,A
1,135.8161908,11/21/18,7/6/18,D,1,1,1,0,A
1,100.0799987,11/5/19,6/20/19,E,24,1,0,0,A
1,242.257289,10/13/19,5/28/19,E,1,1,0,0,A
1,97.89900264,10/2/19,5/17/19,F,1,1,0,0,A
1,565.5159895,1/13/19,8/28/18,F,1,0,0,0,A
1,351.7519378,11/11/18,6/27/18,C,1,0,1,0,A
1,107.1597192,3/19/19,11/2/18,E,30,1,0,0,A
1,189.830776,1/18/19,9/3/18,B,1,1,1,0,A
1,84.66237698,10/19/19,6/4/19,E,28,1,0,0,A
1,256.6837446,7/19/19,3/4/19,D,1,0,1,0,A
1,307.6147207,1/3/19,8/20/18,G,1,0,0,1,A
1,196.3295216,6/23/19,2/7/19,C,1,1,1,0,A
1,245.6226302,12/29/18,8/15/18,D,16,1,1,0,A
1,103.5800444,11/23/18,7/10/18,G,4,1,1,0,A
1,350.7799677,11/11/18,6/28/18,C,2,0,1,0,A
1,371.444563,3/9/19,10/24/18,K,1,0,1,0,A
1,135.2137007,11/17/18,7/4/18,B,6,1,1,0,A
1,108.5760756,3/18/19,11/2/18,J,13,1,0,0,A
1,98.40351714,11/8/19,6/25/19,K,1,1,1,0,A
1,187.6653983,3/21/19,11/5/18,L,1,1,0,0,A
1,468.377976,11/30/18,7/18/18,L,1,0,1,0,A
1,216.7367864,6/16/19,2/1/19,J,1,1,1,0,A
1,185.1464789,11/23/18,7/11/18,I,1,1,1,0,A
3,107.4287098,2/25/19,10/13/18,J,5,1,0,0,A
1,99.61639162,9/25/19,5/13/19,D,1,1,1,0,A
1,351.4258602,11/10/18,6/28/18,C,1,0,1,0,A
1,362.5984462,1/9/19,8/28/18,K,1,0,1,0,A
1,121.1081873,10/5/19,5/24/19,D,1,1,1,0,A
1,188.6332163,6/22/19,2/8/19,I,3,1,1,0,A
1,83.37541211,10/18/19,6/6/19,G,22,1,1,0,A
1,188.5709381,1/15/19,9/3/18,F,1,1,0,0,A
1,186.0582226,9/20/19,5/9/19,C,4,1,1,0,A
1,351.6569292,11/9/18,6/29/18,G,4,0,1,0,A
1,580.1183917,3/15/19,11/2/18,C,1,0,1,0,A
2,107.0838136,3/22/19,11/9/18,B,72,1,1,0,A
1,100.460442,11/5/19,6/25/19,J,1,1,0,0,A
1,150.2958682,11/20/18,7/11/18,F,9,1,0,0,A
1,363.4278112,1/7/19,8/28/18,L,1,0,0,0,A
1,371.3174381,3/5/19,10/24/18,F,1,0,0,0,A
1,107.4254939,3/7/19,10/26/18,B,7,1,1,0,A
1,106.0734128,7/11/19,3/1/19,B,4,1,1,0,A
1,187.2061646,9/18/19,5/9/19,H,1,1,0,0,A
1,255.9438427,7/14/19,3/4/19,E,1,0,0,0,A
1,218.0830577,6/12/19,2/1/19,D,1,1,0,0,A
1,351.0214802,11/6/18,6/28/18,E,1,0,0,0,A
1,85.1092297,10/2/19,5/24/19,F,2,1,0,0,A
1,187.6880388,10/15/19,6/6/19,L,1,1,0,0,A
1,185.5987476,11/5/18,6/27/18,N,1,1,1,0,A
1,421.7989301,11/6/18,6/29/18,J,1,0,0,1,A
1,359.4321704,4/13/19,12/4/18,C,1,0,1,0,A
1,108.2352814,8/16/19,4/8/19,B,19,1,1,0,A
5,83.96401592,4/27/19,12/18/18,B,26,1,1,0,A
1,108.1672497,3/9/19,10/30/18,G,15,1,1,0,A
1,353.9487147,3/25/19,11/15/18,F,1,0,0,0,A
1,352.2228443,11/9/18,7/2/18,G,5,0,1,0,A
1,117.4358055,3/12/19,11/2/18,D,28,1,1,0,A
1,103.5232221,11/11/18,7/4/18,A,7,1,0,0,A
2,107.1694689,3/19/19,11/9/18,E,32,1,0,0,A
1,344.3833329,10/22/19,6/14/19,D,1,0,1,0,A
1,197.9851517,9/6/19,4/29/19,L,2,1,0,0,A
1,105.0320327,11/4/18,6/27/18,E,53,1,0,0,A
1,161.3048052,5/31/19,1/21/19,F,6,1,0,0,A
2,134.4924514,11/3/18,6/27/18,D,2,1,1,0,A
1,187.8101547,6/16/19,2/7/19,L,2,1,0,0,A
1,105.9807385,10/26/18,6/19/18,D,5,1,1,0,A
1,283.0812868,12/1/18,7/25/18,D,1,0,1,0,A
1,100.060521,8/23/19,4/16/19,B,4,1,1,0,A
1,350.5411358,11/5/18,6/29/18,E,4,0,0,0,A
1,197.0786513,3/3/19,10/25/18,C,1,1,1,0,A
1,118.7199241,3/10/19,11/1/18,B,52,1,1,0,A
1,162.2142978,1/7/19,8/31/18,D,1,1,1,0,A
1,196.3899943,2/3/19,9/27/18,B,15,1,1,0,A
1,137.6444975,3/4/19,10/26/18,J,1,1,0,0,A
1,95.43728459,7/5/19,2/26/19,D,2,1,1,0,A
2,224.725311,10/3/19,5/28/19,A,2,1,1,0,A
1,185.7767231,11/1/18,6/26/18,C,1,1,1,0,A
1,350.6464424,11/3/18,6/28/18,E,1,0,0,0,A
1,560.0091827,11/2/18,6/27/18,J,1,0,0,0,A
1,581.3456107,3/10/19,11/2/18,E,1,0,0,0,A
1,317.7526265,10/25/19,6/19/19,N,1,0,1,0,A
1,316.8073854,10/25/19,6/19/19,F,1,0,0,0,A
1,132.015181,6/2/19,1/25/19,B,35,1,1,0,A
1,120.9504239,6/16/19,2/8/19,J,7,1,0,0,A
1,107.2898428,7/7/19,3/1/19,E,1,1,0,0,A
1,359.955837,4/10/19,12/4/18,F,1,0,0,0,A
1,194.4062643,11/10/18,7/6/18,L,1,1,0,0,A
1,424.8906109,1/17/19,9/12/18,B,1,0,1,0,A
1,557.2660569,11/6/18,7/2/18,A,1,0,0,0,A
1,416.5853266,5/16/19,1/9/19,B,1,0,1,0,A
1,115.6517943,3/1/19,10/25/18,F,19,1,0,0,A
4,100.7687195,9/21/19,5/17/19,B,25,1,1,0,A
1,580.4838524,3/20/19,11/13/18,B,1,0,1,0,A
1,99.88739288,9/21/19,5/17/19,K,2,1,1,0,A
1,358.5958922,4/15/19,12/10/18,C,1,0,1,0,A
1,186.9436347,11/1/18,6/28/18,C,2,1,1,0,A
1,356.0606791,5/15/19,1/9/19,J,1,0,0,0,A
1,117.7851084,3/8/19,11/2/18,H,55,1,0,0,A
1,137.0590413,3/22/19,11/16/18,G,13,1,1,0,A
1,95.79077044,7/2/19,2/26/19,E,2,1,0,0,A
1,105.7001147,10/22/18,6/19/18,E,1,1,0,0,A
1,290.2988713,5/8/19,1/3/19,C,1,0,1,0,A
1,190.050672,10/16/19,6/13/19,C,4,1,1,0,A
1,581.3775004,3/18/19,11/13/18,E,1,0,0,0,A
3,107.6368078,1/30/19,9/27/18,A,6,1,0,0,A
2,228.403581,9/29/19,5/28/19,K,2,1,0,0,A
1,566.5609517,1/14/19,9/12/18,A,1,0,0,0,A
1,135.9389296,11/11/18,7/10/18,J,2,1,0,0,A
1,100.7722988,8/18/19,4/16/19,J,2,1,0,0,A
2,99.37546015,9/21/19,5/20/19,G,14,1,1,0,A
1,186.0892375,1/29/19,9/27/18,L,1,1,0,0,A
2,107.7190419,2/26/19,10/26/18,B,64,1,1,0,A
4,107.6207198,2/26/19,10/26/18,G,30,1,1,0,A
1,147.2318315,1/27/19,9/26/18,B,33,1,1,0,A
1,105.6334721,10/29/18,6/28/18,E,6,1,0,0,A
1,371.3632174,5/6/19,1/3/19,E,1,0,0,0,A
1,250.5958807,10/21/18,6/20/18,I,1,0,1,0,A
1,256.5250159,8/9/19,4/8/19,I,1,0,1,0,A
2,197.9732482,3/4/19,11/1/18,C,4,1,1,0,A
1,99.81504819,9/17/19,5/17/19,E,18,1,0,0,A
1,108.6483569,3/19/19,11/16/18,H,42,1,0,0,A
1,187.9734786,3/15/19,11/12/18,G,1,1,1,0,A
2,199.1268562,12/31/18,8/31/18,G,15,1,1,0,A
1,359.2654818,4/5/19,12/4/18,B,1,0,1,0,A
5,256.8653381,4/19/19,12/18/18,E,7,1,0,0,A
9,189.4175828,6/14/19,2/12/19,I,9,1,1,0,A
1,363.7679821,11/10/18,7/11/18,C,2,0,1,0,A
1,356.5748462,11/10/18,7/11/18,G,2,0,1,0,A
1,372.134874,7/7/19,3/7/19,C,1,0,1,0,A
1,121.8910049,10/13/19,6/13/19,E,1,1,0,0,A
1,105.7695207,10/12/18,6/12/18,B,4,1,1,0,A
1,99.13001125,9/16/19,5/17/19,H,17,1,0,0,A
1,349.6108945,10/20/19,6/20/19,C,1,0,1,0,A
1,149.3832672,11/29/18,7/31/18,D,13,1,1,0,A
1,106.7498069,2/28/19,10/30/18,M,15,1,0,0,A
1,358.3531423,2/14/19,10/16/18,C,1,0,1,0,A
1,98.50495404,9/11/19,5/13/19,E,9,1,0,0,A
1,419.7203399,6/21/19,2/20/19,H,1,0,0,0,A
5,141.077666,10/27/19,6/28/19,B,7,1,1,0,A
1,354.06298,5/10/19,1/9/19,K,1,0,1,0,A
1,118.4624215,5/5/19,1/4/19,D,23,1,1,0,A
1,344.1198068,10/13/19,6/14/19,E,1,0,0,0,A
1,237.9302122,2/14/19,10/17/18,A,1,0,1,0,A
1,116.8691289,2/23/19,10/26/18,E,35,1,0,0,A
1,116.5349791,2/23/19,10/26/18,J,1,1,0,0,A
2,116.6966918,2/23/19,10/26/18,A,4,1,0,0,A
1,309.2276282,9/20/19,5/23/19,B,1,0,1,0,A
